PreC_#,Team Name,PreC_M,PreC_W,PreC_D,PreC_L,PreC_Dif,PreC_Pt,PreC_F,PreC_A,Final_#,PostC_M,PostC_W,PostC_D,PostC_L,PostC_Dif,PostC_Pt,PostC_F,PostC_A,PostC_PPG,PreC_PPG,PPG_Diff,season
13,CD Leganés,27,8,9,10,-5,33,27,32,13,11,3,3,5,-1,12,10,11,1.09,1.22,-0.13,2018-2019
14,Girona FC,27,7,10,10,-8,31,29,37,18,11,2,0,9,-8,6,8,16,0.55,1.15,-0.6,2018-2019
15,Levante UD,27,8,6,13,-11,30,37,48,15,11,3,5,3,4,14,22,18,1.27,1.11,0.16,2018-2019
16,Villarreal CF,27,5,11,11,-6,26,29,35,14,11,5,3,3,3,18,20,17,1.64,0.96,0.68,2018-2019
17,Real Valladolid,27,6,8,13,-17,26,21,38,16,11,4,3,4,-2,15,11,13,1.36,0.96,0.4,2018-2019
18,Celta Vigo,27,6,7,14,-9,25,36,45,17,11,4,4,3,0,16,17,17,1.45,0.93,0.52,2018-2019
19,Rayo Vallecano,27,6,5,16,-19,23,29,48,20,11,2,3,6,-10,9,12,22,0.82,0.85,-0.03,2018-2019
20,SD Huesca,27,5,7,15,-17,22,27,44,19,11,2,5,4,-5,11,16,21,1.0,0.81,0.19,2018-2019
1,FC Barcelona,27,21,6,0,57,69,70,13,1,11,7,3,1,13,24,29,16,2.18,2.56,-0.38,2017-2018
2,Atlético Madrid,27,18,7,2,33,61,45,12,2,11,5,3,3,3,18,13,10,1.64,2.26,-0.62,2017-2018
3,Real Madrid,27,16,6,5,36,54,65,29,3,11,6,4,1,14,22,29,15,2.0,2.0,0.0,2017-2018
4,Valencia CF,27,16,5,6,22,53,52,30,4,11,6,2,3,5,20,13,8,1.82,1.96,-0.14,2017-2018
5,Sevilla FC,27,14,3,10,-4,45,36,40,7,11,3,4,4,-5,13,13,18,1.18,1.67,-0.49,2017-2018
6,Villarreal CF,27,12,5,10,4,41,36,32,5,11,6,2,3,3,20,21,18,1.82,1.52,0.3,2017-2018
7,Girona FC,27,11,7,9,2,40,38,36,10,11,3,2,6,-11,11,12,23,1.0,1.48,-0.48,2017-2018
8,SD Eibar,27,11,6,10,-5,39,34,39,9,11,3,3,5,-1,12,10,11,1.09,1.44,-0.35,2017-2018
9,Celta Vigo,27,11,5,11,6,38,45,39,13,11,2,5,4,-7,11,14,21,1.0,1.41,-0.41,2017-2018
10,Real Betis,27,11,4,12,-9,37,43,52,6,11,7,2,2,8,23,17,9,2.09,1.37,0.72,2017-2018
11,Getafe CF,27,9,9,9,8,36,33,25,8,11,6,1,4,1,19,9,8,1.73,1.33,0.4,2017-2018
12,CD Leganés,27,9,6,12,-9,33,23,32,17,11,3,1,7,-8,10,11,19,0.91,1.22,-0.31,2017-2018
13,Real Sociedad,27,9,6,12,1,33,49,48,12,11,5,1,5,6,16,17,11,1.45,1.22,0.23,2017-2018
14,Athletic Bilbao,27,7,11,9,-4,32,27,31,16,11,3,2,6,-4,11,14,18,1.0,1.19,-0.19,2017-2018
15,Espanyol Barcelona,27,7,11,9,-9,32,24,33,11,11,5,2,4,3,17,12,9,1.55,1.19,0.36,2017-2018
16,CD Alavés,27,10,1,16,-15,31,24,39,14,11,5,1,5,5,16,16,11,1.45,1.15,0.3,2017-2018
17,Levante UD,27,3,12,12,-20,21,22,42,15,11,8,1,2,6,25,22,16,2.27,0.78,1.49,2017-2018
18,UD Las Palmas,27,5,5,17,-35,20,20,55,19,11,0,2,9,-15,2,4,19,0.18,0.74,-0.56,2017-2018
19,Deportivo La Coruña,27,4,7,16,-32,19,25,57,18,11,2,4,5,-6,10,13,19,0.91,0.7,0.21,2017-2018
20,Málaga CF,27,3,4,20,-27,13,16,43,20,11,2,1,8,-10,7,8,18,0.64,0.48,0.16,2017-2018
1,Real Madrid,27,20,5,2,45,65,73,28,1,11,9,1,1,20,28,33,13,2.55,2.41,0.14,2016-2017
2,FC Barcelona,27,18,6,3,54,60,77,23,2,11,10,0,1,25,30,39,14,2.73,2.22,0.51,2016-2017
3,Sevilla FC,27,17,6,4,20,57,51,31,4,11,4,3,4,0,15,18,18,1.36,2.11,-0.75,2016-2017
4,Atlético Madrid,27,15,7,5,27,52,49,22,3,11,8,2,1,16,26,21,5,2.36,1.93,0.43,2016-2017
5,Villarreal CF,27,13,9,5,20,48,39,19,5,11,6,1,4,3,19,17,14,1.73,1.78,-0.05,2016-2017
6,Real Sociedad,27,15,3,9,4,48,42,38,6,11,4,4,3,2,16,17,15,1.45,1.78,-0.33,2016-2017
7,Athletic Bilbao,27,13,5,9,4,44,34,30,7,11,6,1,4,6,19,19,13,1.73,1.63,0.1,2016-2017
8,SD Eibar,27,11,7,9,5,40,43,38,10,11,4,2,5,0,14,13,13,1.27,1.48,-0.21,2016-2017
9,Espanyol Barcelona,27,10,9,8,1,39,39,38,8,11,5,2,4,-2,17,10,12,1.55,1.44,0.11,2016-2017
10,CD Alavés,27,9,10,8,-5,37,28,33,9,11,5,3,3,3,18,13,10,1.64,1.37,0.27,2016-2017
11,Celta Vigo,27,10,5,12,-9,35,40,49,13,11,3,1,7,-7,10,13,20,0.91,1.3,-0.39,2016-2017
12,UD Las Palmas,27,8,8,11,-2,32,43,45,14,11,2,1,8,-19,7,10,29,0.64,1.19,-0.55,2016-2017
13,Valencia CF,27,8,6,13,-11,30,36,47,12,11,5,1,5,2,16,20,18,1.45,1.11,0.34,2016-2017
14,Real Betis,27,7,7,13,-15,28,29,44,15,11,3,2,6,-8,11,12,20,1.0,1.04,-0.04,2016-2017
15,Deportivo La Coruña,27,6,9,12,-11,27,31,42,16,11,2,3,6,-7,9,12,19,0.82,1.0,-0.18,2016-2017
16,Málaga CF,27,6,8,13,-12,26,33,45,11,11,6,2,3,6,20,16,10,1.82,0.96,0.86,2016-2017
17,CD Leganés,27,6,7,14,-19,25,22,41,17,11,2,4,5,0,10,14,14,0.91,0.93,-0.02,2016-2017
18,Granada CF,27,4,7,16,-31,19,24,55,20,11,0,1,10,-21,1,6,27,0.09,0.7,-0.61,2016-2017
19,Sporting Gijón,27,4,6,17,-28,18,28,56,18,11,3,4,4,-2,13,14,16,1.18,0.67,0.51,2016-2017
20,CA Osasuna,27,1,8,18,-37,11,28,65,19,11,3,2,6,-17,11,12,29,1.0,0.41,0.59,2016-2017
1,FC Barcelona,27,22,3,2,52,69,74,22,1,11,7,1,3,31,22,38,7,2.0,2.56,-0.56,2015-2016
2,Atlético Madrid,27,19,4,4,28,61,39,11,3,11,9,0,2,17,27,24,7,2.45,2.26,0.19,2015-2016
3,Real Madrid,27,17,6,4,48,57,74,26,2,11,11,0,0,28,33,36,8,3.0,2.11,0.89,2015-2016
4,Villarreal CF,27,15,8,4,15,53,33,18,4,11,3,2,6,-6,11,11,17,1.0,1.96,-0.96,2015-2016
5,Sevilla FC,27,12,8,7,10,44,38,28,7,11,2,2,7,-9,8,13,22,0.73,1.63,-0.9,2015-2016
6,Celta Vigo,27,12,6,9,-5,42,39,44,6,11,5,3,3,-3,18,12,15,1.64,1.56,0.08,2015-2016
7,Athletic Bilbao,27,12,5,10,6,41,42,36,5,11,6,3,2,7,21,16,9,1.91,1.52,0.39,2015-2016
8,SD Eibar,27,10,6,11,4,36,40,36,14,11,1,4,6,-16,7,9,25,0.64,1.33,-0.69,2015-2016
9,Real Sociedad,27,9,7,11,-2,34,36,38,9,11,4,2,5,-1,14,9,10,1.27,1.26,0.01,2015-2016
10,Valencia CF,27,8,10,9,2,34,32,30,12,11,3,1,7,-4,10,14,18,0.91,1.26,-0.35,2015-2016
11,Málaga CF,27,8,8,11,-1,32,24,25,8,11,4,4,3,4,16,14,10,1.45,1.19,0.26,2015-2016
12,Deportivo La Coruña,27,6,14,7,-2,32,34,36,15,11,2,4,5,-14,10,11,25,0.91,1.19,-0.28,2015-2016
13,Real Betis,27,7,10,10,-12,31,24,36,10,11,4,2,5,-6,14,10,16,1.27,1.15,0.12,2015-2016
14,Espanyol Barcelona,27,8,4,15,-27,28,26,53,13,11,4,3,4,-7,15,14,21,1.36,1.04,0.32,2015-2016
15,UD Las Palmas,27,7,6,14,-11,27,29,40,11,11,5,2,4,3,17,16,13,1.55,1.0,0.55,2015-2016
16,Getafe CF,27,7,5,15,-18,26,26,44,19,11,2,4,5,-12,10,11,23,0.91,0.96,-0.05,2015-2016
17,Rayo Vallecano,27,6,8,13,-21,26,37,58,18,11,3,3,5,0,12,15,15,1.09,0.96,0.13,2015-2016
18,Granada CF,27,7,5,15,-22,26,29,51,16,11,3,4,4,-1,13,17,18,1.18,0.96,0.22,2015-2016
19,Sporting Gijón,27,6,6,15,-18,24,30,48,17,11,4,3,4,-4,15,10,14,1.36,0.89,0.47,2015-2016
20,Levante UD,27,5,5,17,-26,20,25,51,20,11,3,3,5,-7,12,12,19,1.09,0.74,0.35,2015-2016
